month,revenue_goal,profit_goal
2024-01-01,145000.0,39150.0
2024-02-01,147610.0,39854.7
2024-03-01,150266.98,40572.08
2024-04-01,152971.79,41302.38
2024-05-01,155725.28,42045.83
2024-06-01,158528.33,42802.65
2024-07-01,161381.84,43573.1
2024-08-01,164286.72,44357.41
2024-09-01,167243.88,45155.85
2024-10-01,170254.27,45968.65
2024-11-01,173318.84,46796.09
2024-12-01,176438.58,47638.42
2025-01-01,179614.48,48495.91
2025-02-01,182847.54,49368.84
2025-03-01,186138.79,50257.47
2025-04-01,189489.29,51162.11
2025-05-01,192900.1,52083.03
2025-06-01,196372.3,53020.52
2025-07-01,199907.0,53974.89
2025-08-01,203505.33,54946.44
2025-09-01,207168.42,55935.47
2025-10-01,210897.46,56942.31
2025-11-01,214693.61,57967.27
2025-12-01,218558.09,59010.69
2026-01-01,222492.14,60072.88
2026-02-01,226497.0,61154.19
2026-03-01,230573.95,62254.97
2026-04-01,234724.28,63375.55
2026-05-01,238949.31,64516.31
2026-06-01,243250.4,65677.61
2026-07-01,247628.91,66859.81
2026-08-01,252086.23,68063.28
2026-09-01,256623.78,69288.42
2026-10-01,261243.01,70535.61
2026-11-01,265945.38,71805.25
2026-12-01,270732.4,73097.75
