sale_date,order_id,region,state,category,product,seller,channel,payment_status,quantity,unit_price,unit_cost
2024-01-01,PED-00268,Norte,AM,Periféricos,Mouse Sem Fio,Carla Souza,Online,Pago,2,191.43,93.78
2024-01-02,PED-00039,Sudeste,RJ,Infraestrutura,Switch Gerenciável,Fernanda Costa,Parceiros,Pago,1,1877.47,1251.44
2024-01-06,PED-00607,Sudeste,SP,Computadores,Desktop Business,Diego Santos,Online,Pendente,5,4062.24,3224.96
2024-01-07,PED-00239,Norte,AM,Serviços,Implantação de Rede,Gustavo Rocha,Loja física,Pago,2,2763.22,1136.73
2024-01-09,PED-01028,Sudeste,RJ,Serviços,Consultoria TI,Fernanda Costa,Loja física,Pago,1,1823.84,493.04
2024-01-10,PED-00032,Sul,RS,Periféricos,Mouse Sem Fio,Bruno Silva,Venda direta,Pago,1,190.23,96.18
2024-01-10,PED-01129,Sudeste,ES,Infraestrutura,Firewall Appliance,Carla Souza,Loja física,Pago,3,4863.11,3553.76
2024-01-11,PED-01310,Centro-Oeste,MS,Computadores,Mini PC,Ana Lima,Online,Pago,4,2682.52,2095.21
2024-01-11,PED-01339,Centro-Oeste,DF,Infraestrutura,Switch Gerenciável,Ana Lima,Parceiros,Pendente,2,1866.61,1193.04
2024-01-13,PED-00236,Sudeste,ES,Computadores,Mini PC,Fernanda Costa,Loja física,Pendente,5,2986.84,2148.47
2024-01-13,PED-00780,Sudeste,SP,Periféricos,Mouse Sem Fio,Diego Santos,Venda direta,Parcelado,2,185.26,93.39
2024-01-13,PED-01205,Sudeste,ES,Serviços,Consultoria TI,Fernanda Costa,Parceiros,Parcelado,1,1937.05,508.97
2024-01-13,PED-01351,Norte,RO,Computadores,Desktop Business,Gustavo Rocha,Online,Parcelado,5,4506.37,3335.37
2024-01-14,PED-00838,Nordeste,CE,Serviços,Implantação de Rede,Carla Souza,Venda direta,Pendente,2,3000.59,1152.08
2024-01-14,PED-01009,Centro-Oeste,MS,Serviços,Suporte Remoto,Fernanda Costa,Parceiros,Pago,2,429.59,117.45
2024-01-14,PED-01270,Sul,SC,Periféricos,Mouse Sem Fio,Carla Souza,Online,Pendente,4,174.78,94.91
2024-01-14,PED-01390,Sudeste,SP,Computadores,Desktop Business,Carla Souza,Online,Pago,3,4474.76,3130.38
2024-01-15,PED-00590,Sul,PR,Infraestrutura,Access Point,Ana Lima,Online,Pago,4,1005.06,641.81
2024-01-16,PED-00109,Sudeste,RJ,Infraestrutura,Access Point,Diego Santos,Online,Pago,2,957.61,602.27
2024-01-16,PED-01076,Sudeste,MG,Computadores,Notebook Pro,Ana Lima,Parceiros,Pago,5,5103.36,3944.45
2024-01-16,PED-01119,Centro-Oeste,GO,Computadores,Mini PC,Fernanda Costa,Parceiros,Pago,5,2942.71,2003.85
2024-01-17,PED-00485,Sudeste,MG,Computadores,Desktop Business,Gustavo Rocha,Parceiros,Parcelado,2,4171.32,3162.69
2024-01-17,PED-00609,Sudeste,MG,Periféricos,Mouse Sem Fio,Ana Lima,Venda direta,Pendente,4,190.82,97.59
2024-01-17,PED-00923,Sudeste,SP,Serviços,Consultoria TI,Fernanda Costa,Loja física,Pendente,2,1911.25,508.54
2024-01-18,PED-01078,Sudeste,ES,Computadores,Desktop Business,Diego Santos,Online,Parcelado,4,4425.92,3232.3
2024-01-18,PED-01122,Norte,RO,Serviços,Implantação de Rede,Ana Lima,Venda direta,Pago,1,2809.29,1113.21
2024-01-20,PED-00643,Nordeste,RN,Computadores,Notebook Pro,Fernanda Costa,Online,Pendente,1,4911.87,3975.59
2024-01-22,PED-01020,Sul,SC,Computadores,Notebook Pro,Fernanda Costa,Online,Pendente,1,5320.44,4084.31
2024-01-23,PED-00095,Norte,RO,Serviços,Implantação de Rede,Gustavo Rocha,Online,Parcelado,1,2853.84,1123.89
2024-01-23,PED-00718,Sul,PR,Serviços,Implantação de Rede,Bruno Silva,Loja física,Pago,2,2639.69,1100.5
2024-01-23,PED-01179,Sul,RS,Infraestrutura,Firewall Appliance,Ana Lima,Loja física,Parcelado,1,5074.37,3496.53
2024-01-25,PED-01383,Sudeste,RJ,Periféricos,Teclado Mecânico,Gustavo Rocha,Parceiros,Pendente,2,424.18,256.2
2024-01-27,PED-00164,Sudeste,MG,Serviços,Consultoria TI,Carla Souza,Venda direta,Pendente,1,1846.21,483.88
2024-01-27,PED-01063,Nordeste,PE,Serviços,Consultoria TI,Diego Santos,Loja física,Pendente,1,1831.23,482.35
2024-01-27,PED-01238,Sudeste,RJ,Serviços,Suporte Remoto,Diego Santos,Online,Pago,2,450.63,117.35
2024-01-27,PED-01371,Centro-Oeste,MT,Serviços,Suporte Remoto,Gustavo Rocha,Parceiros,Pago,2,461.62,123.41
2024-01-28,PED-00242,Norte,AM,Periféricos,Teclado Mecânico,Diego Santos,Venda direta,Pago,3,443.68,241.56
2024-01-28,PED-00633,Nordeste,PE,Infraestrutura,Switch Gerenciável,Carla Souza,Venda direta,Pago,4,1675.42,1223.92
2024-01-28,PED-00662,Nordeste,CE,Serviços,Suporte Remoto,Carla Souza,Online,Pago,2,444.74,119.06
2024-01-29,PED-00307,Centro-Oeste,MT,Periféricos,Mouse Sem Fio,Diego Santos,Parceiros,Pago,2,190.28,98.13
2024-01-29,PED-00336,Sudeste,RJ,Periféricos,Monitor 27,Diego Santos,Online,Pago,2,1500.57,964.53
2024-01-30,PED-00250,Centro-Oeste,GO,Serviços,Consultoria TI,Bruno Silva,Parceiros,Pago,2,1789.99,511.71
2024-01-30,PED-01111,Sudeste,RJ,Serviços,Suporte Remoto,Diego Santos,Venda direta,Pendente,2,439.48,118.63
2024-01-31,PED-00232,Centro-Oeste,MS,Serviços,Suporte Remoto,Bruno Silva,Venda direta,Pago,2,457.84,119.25
2024-01-31,PED-00301,Sudeste,ES,Periféricos,Teclado Mecânico,Diego Santos,Loja física,Pago,2,448.21,246.19
2024-02-02,PED-00205,Sudeste,RJ,Periféricos,Mouse Sem Fio,Diego Santos,Venda direta,Pendente,4,178.99,99.02
2024-02-03,PED-00159,Centro-Oeste,MS,Infraestrutura,Switch Gerenciável,Fernanda Costa,Parceiros,Pendente,4,1835.62,1216.41
2024-02-03,PED-00334,Sudeste,MG,Periféricos,Teclado Mecânico,Gustavo Rocha,Online,Pago,3,444.11,251.87
2024-02-03,PED-00382,Sudeste,ES,Computadores,Mini PC,Fernanda Costa,Venda direta,Pago,5,2976.96,2109.19
2024-02-04,PED-00430,Nordeste,PE,Periféricos,Mouse Sem Fio,Bruno Silva,Online,Pago,1,178.62,96.99
2024-02-06,PED-01016,Sudeste,RJ,Computadores,Mini PC,Gustavo Rocha,Venda direta,Pendente,1,2745.46,2135.1
2024-02-07,PED-00087,Sul,RS,Infraestrutura,Access Point,Ana Lima,Loja física,Pendente,4,936.75,647.29
2024-02-07,PED-01154,Norte,RO,Serviços,Suporte Remoto,Gustavo Rocha,Parceiros,Pago,1,486.58,120.13
2024-02-08,PED-00561,Sudeste,MG,Computadores,Mini PC,Gustavo Rocha,Parceiros,Pendente,4,3015.02,1986.74
2024-02-09,PED-01128,Nordeste,RN,Periféricos,Mouse Sem Fio,Fernanda Costa,Venda direta,Pendente,5,181.84,97.8
2024-02-10,PED-01100,Norte,RO,Periféricos,Monitor 27,Bruno Silva,Parceiros,Parcelado,4,1535.06,944.96
2024-02-11,PED-00480,Centro-Oeste,MT,Computadores,Notebook Pro,Fernanda Costa,Venda direta,Pago,5,4968.62,4006.53
2024-02-11,PED-01267,Sudeste,MG,Computadores,Mini PC,Gustavo Rocha,Venda direta,Pago,4,2804.55,2003.08
2024-02-12,PED-00033,Sudeste,SP,Infraestrutura,Access Point,Fernanda Costa,Venda direta,Parcelado,2,1014.73,616.17
2024-02-12,PED-00169,Nordeste,BA,Computadores,Notebook Pro,Fernanda Costa,Venda direta,Parcelado,5,5090.83,3825.63
2024-02-12,PED-00729,Sudeste,RJ,Computadores,Notebook Pro,Diego Santos,Venda direta,Pago,3,5012.32,3854.23
2024-02-13,PED-00326,Sudeste,ES,Periféricos,Mouse Sem Fio,Gustavo Rocha,Online,Pago,2,190.6,93.59
2024-02-13,PED-01117,Sul,SC,Computadores,Notebook Pro,Diego Santos,Venda direta,Pago,2,4922.42,4015.23
2024-02-13,PED-01376,Sul,PR,Periféricos,Monitor 27,Gustavo Rocha,Venda direta,Pago,5,1430.71,976.93
2024-02-14,PED-00140,Sudeste,RJ,Serviços,Consultoria TI,Bruno Silva,Loja física,Pago,2,1885.37,516.3
2024-02-14,PED-00933,Centro-Oeste,GO,Serviços,Consultoria TI,Bruno Silva,Parceiros,Parcelado,2,1846.79,511.6
2024-02-15,PED-00496,Nordeste,PE,Periféricos,Mouse Sem Fio,Ana Lima,Online,Pago,3,173.48,97.62
2024-02-15,PED-00823,Sudeste,SP,Infraestrutura,Switch Gerenciável,Fernanda Costa,Venda direta,Pendente,5,1802.16,1221.9
2024-02-16,PED-00373,Nordeste,RN,Periféricos,Mouse Sem Fio,Bruno Silva,Online,Pendente,4,172.24,96.62
2024-02-17,PED-00792,Nordeste,PE,Infraestrutura,Access Point,Carla Souza,Loja física,Parcelado,3,957.02,631.58
2024-02-18,PED-00726,Norte,AM,Infraestrutura,Switch Gerenciável,Fernanda Costa,Online,Pago,2,1691.18,1247.31
2024-02-18,PED-00739,Nordeste,BA,Serviços,Implantação de Rede,Gustavo Rocha,Loja física,Pago,1,2815.25,1155.62
2024-02-19,PED-00637,Sudeste,SP,Periféricos,Mouse Sem Fio,Bruno Silva,Parceiros,Pago,2,188.85,96.51
2024-02-19,PED-01005,Norte,PA,Infraestrutura,Switch Gerenciável,Gustavo Rocha,Loja física,Pago,5,1842.63,1195.38
2024-02-20,PED-00297,Centro-Oeste,MT,Periféricos,Monitor 27,Fernanda Costa,Loja física,Pago,4,1539.56,991.81
2024-02-21,PED-00190,Centro-Oeste,GO,Periféricos,Monitor 27,Ana Lima,Loja física,Pago,1,1449.79,1006.08
2024-02-21,PED-01174,Nordeste,CE,Infraestrutura,Switch Gerenciável,Ana Lima,Parceiros,Pago,3,1813.99,1237.29
2024-02-22,PED-00069,Sudeste,ES,Computadores,Notebook Pro,Gustavo Rocha,Online,Pago,4,5256.48,3954.43
2024-02-23,PED-00778,Sudeste,ES,Serviços,Suporte Remoto,Gustavo Rocha,Online,Pendente,2,438.56,121.92
2024-02-23,PED-01137,Sul,SC,Serviços,Consultoria TI,Ana Lima,Loja física,Parcelado,2,1777.98,503.52
2024-02-24,PED-01152,Sudeste,MG,Periféricos,Teclado Mecânico,Bruno Silva,Parceiros,Pago,2,428.88,249.81
2024-02-24,PED-01386,Sudeste,RJ,Serviços,Consultoria TI,Ana Lima,Parceiros,Pago,2,1714.6,499.78
2024-02-25,PED-00320,Sudeste,ES,Computadores,Desktop Business,Bruno Silva,Loja física,Pago,5,4339.82,3106.13
2024-02-25,PED-00384,Sul,SC,Periféricos,Mouse Sem Fio,Gustavo Rocha,Parceiros,Parcelado,4,190.5,99.19
2024-02-25,PED-00395,Sul,SC,Computadores,Mini PC,Diego Santos,Venda direta,Pendente,2,2995.08,2047.29
2024-02-25,PED-00544,Sul,SC,Periféricos,Mouse Sem Fio,Gustavo Rocha,Venda direta,Parcelado,5,192.04,96.78
2024-02-26,PED-00584,Centro-Oeste,DF,Infraestrutura,Firewall Appliance,Carla Souza,Loja física,Pago,3,4575.2,3511.8
2024-02-26,PED-00675,Nordeste,BA,Infraestrutura,Firewall Appliance,Diego Santos,Parceiros,Pago,3,5104.93,3650.97
2024-02-26,PED-01222,Norte,AM,Periféricos,Teclado Mecânico,Bruno Silva,Parceiros,Pago,3,396.74,256.36
2024-03-01,PED-00865,Norte,AM,Periféricos,Mouse Sem Fio,Bruno Silva,Online,Pago,2,191.33,99.59
2024-03-02,PED-00447,Sul,SC,Serviços,Consultoria TI,Carla Souza,Parceiros,Parcelado,1,1812.58,497.04
2024-03-02,PED-00604,Sudeste,SP,Serviços,Implantação de Rede,Carla Souza,Loja física,Parcelado,2,2709.91,1094.37
2024-03-03,PED-00212,Sudeste,RJ,Serviços,Consultoria TI,Gustavo Rocha,Venda direta,Parcelado,2,1710.63,497.48
2024-03-03,PED-00324,Nordeste,RN,Serviços,Consultoria TI,Gustavo Rocha,Online,Parcelado,1,1819.27,485.49
2024-03-04,PED-00050,Sul,SC,Serviços,Consultoria TI,Diego Santos,Venda direta,Pago,1,1915.53,516.51
